

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20251020-cytation3-pure-timecourse-gfp-EXPERIMENT.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation3_protocols\cytation3-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	10/20/2025
Time	11:38:56 AM
Reader Type:	Cytation3
Reader Serial Number:	130723A
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-F-G35
	Fluorescence Endpoint
	Full Plate
	Filter Set 1 (2)
	    Excitation: 485/20,  Emission: 528/20
	    Mirror: Top 510 nm,  Gain: 35
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 11.5 mm
    Read	GFP-M-G100
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 528
	    Optics: Top,  Gain: 75
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.75 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B																									Well ID
C																									Well ID
D																									Well ID
E																									Well ID
F	SPL1	SPL2	SPL3	SPL4																					Well ID
G																									Well ID
H																									Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

GFP-F-G35:485/20,528/20

Time	T° GFP-F-G35:485/20,528/20	F1	F2	F3	F4


Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20251020-cytation3-pure-timecourse-gfp-EXPERIMENT.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation3_protocols\cytation3-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	10/20/2025
Time	11:38:56 AM
Reader Type:	Cytation3
Reader Serial Number:	130723A
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-F-G35
	Fluorescence Endpoint
	Full Plate
	Filter Set 1 (2)
	    Excitation: 485/20,  Emission: 528/20
	    Mirror: Top 510 nm,  Gain: 35
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 11.5 mm
    Read	GFP-M-G100
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 528
	    Optics: Top,  Gain: 75
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.75 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B																									Well ID
C																									Well ID
D																									Well ID
E																									Well ID
F	SPL1	SPL2	SPL3	SPL4																					Well ID
G																									Well ID
H																									Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

GFP-F-G35:485/20,528/20

Time	T° GFP-F-G35:485/20,528/20	F1	F2	F3	F4
0:00:00	37.0	37	34	42	38
0:05:00	37.0	39	33	39	40
0:10:00	37.0	300	146	55	408
0:15:00	37.0	1339	634	124	2021
0:20:00	37.0	3197	1496	208	4931
0:25:00	37.0	5670	2569	270	8751
0:30:00	37.0	8465	3745	310	12945
0:35:00	37.0	11303	4842	331	17031
0:40:00	37.0	14064	5873	340	21126
0:45:00	37.0	16656	6752	339	24791
0:50:00	37.0	19189	7503	330	28219
0:55:00	37.0	21319	8134	319	31244
1:00:00	37.0	23346	8646	305	33935
1:05:00	37.0	25130	8976	289	36611
1:10:00	37.0	26681	9318	272	38969
1:15:00	37.0	28092	9469	256	40855
1:20:00	37.0	29385	9565	241	42724
1:25:00	37.0	30345	9597	228	44383
1:30:00	36.9	31378	9579	216	45673
1:35:00	37.0	32110	9536	205	47240
1:40:00	37.0	32986	9450	196	48675
1:45:00	37.0	33803	9328	188	49721
1:50:00	37.0	34349	9226	180	50662
1:55:00	37.0	34810	9054	174	51493
2:00:00	37.0	35562	8876	169	52301
2:05:00	36.9	35959	8747	165	53238
2:10:00	37.0	36194	8588	161	53538
2:15:00	37.0	36500	8452	157	54310
2:20:00	37.0	36764	8266	154	55005
2:25:00	37.0	37099	8111	152	55139
2:30:00	37.0	37424	7936	150	55741
2:35:00	37.0	37479	7783	149	56129
2:40:00	37.0	37467	7649	148	56571
2:45:00	37.0	37645	7478	146	56697
2:50:00	37.0	37872	7363	147	56896
2:55:00	37.0	37727	7203	147	57025
3:00:00	37.0	37681	7100	146	57058
3:05:00	37.0	37977	6968	146	57299
3:10:00	37.0	37959	6880	147	57327
3:15:00	37.0	37998	6752	147	57552
3:20:00	37.0	37901	6693	148	57698
3:25:00	37.0	37801	6602	148	57385
3:30:00	37.0	37959	6569	150	57445
3:35:00	37.0	37763	6515	151	57598
3:40:00	37.0	37802	6465	150	57654
3:45:00	37.0	37801	6437	152	57677
3:50:00	37.0	37755	6435	154	57575
3:55:00	37.0	37738	6387	154	57834
4:00:00	37.0	37672	6368	155	57443
4:05:00	37.0	37579	6339	157	57605
4:10:00	37.0	37708	6304	158	57534
4:15:00	37.0	37632	6313	159	57558
4:20:00	37.0	37605	6299	160	57216
4:25:00	37.0	37555	6281	161	57208
4:30:00	37.0	37318	6294	162	57475
4:35:00	37.0	37330	6269	162	57555
4:40:00	37.0	37242	6278	164	57331
4:45:00	37.0	37418	6293	165	57377
4:50:00	37.0	37282	6284	166	57396
4:55:00	37.0	37279	6293	167	57374
5:00:00	37.0	37220	6309	167	57134
5:05:00	37.0	37118	6293	168	57273
5:10:00	37.0	37040	6259	169	57159
5:15:00	37.0	36979	6257	170	57321
5:20:00	37.0	37092	6262	171	57409
5:25:00	37.0	37077	6267	171	57323
5:30:00	36.9	36919	6276	173	57031
5:35:00	37.0	37052	6270	173	57154
5:40:00	37.0	36874	6234	174	57230
5:45:00	37.0	37000	6243	176	57217
5:50:00	37.0	36733	6243	175	57115
5:55:00	37.0	36984	6251	176	56976
6:00:00	37.0	36849	6256	177	56878

GFP-M-G100:485,528

Time	T° GFP-M-G100:485,528	F1	F2	F3	F4
0:00:02	37.0	8	7	12	9
0:05:02	37.0	7	16	19	18
0:10:02	37.0	67	64	21	149
0:15:02	37.0	296	258	40	736
0:20:02	37.0	722	598	74	1825
0:25:02	36.9	1290	1051	99	3286
0:30:02	37.0	1939	1530	107	4912
0:35:02	37.0	2627	1999	118	6660
0:40:02	37.0	3287	2424	121	8315
0:45:02	37.0	3920	2810	118	10059
0:50:02	37.0	4563	3146	118	11572
0:55:02	37.0	5160	3423	117	13227
1:00:02	37.0	5708	3653	104	14648
1:05:02	37.0	6209	3821	99	15869
1:10:02	37.0	6636	3983	92	17166
1:15:02	37.0	7060	4049	91	18308
1:20:02	37.0	7479	4105	79	19398
1:25:02	37.0	7759	4127	84	20371
1:30:02	37.0	8093	4134	72	21316
1:35:02	37.0	8336	4101	69	22334
1:40:02	37.0	8599	4078	70	23048
1:45:02	37.0	8936	4022	70	23802
1:50:02	37.0	9072	3958	66	24413
1:55:02	37.0	9258	3941	60	25122
2:00:02	37.0	9443	3850	65	25633
2:05:02	37.0	9654	3775	64	26161
2:10:02	37.0	9822	3725	60	26752
2:15:02	37.0	9987	3637	58	27118
2:20:02	37.0	10053	3588	53	27590
2:25:02	37.0	10089	3498	57	27774
2:30:02	37.0	10284	3423	54	28307
2:35:02	37.0	10362	3385	49	28475
2:40:02	37.0	10376	3335	46	28682
2:45:02	37.0	10455	3274	49	28896
2:50:02	37.0	10454	3184	53	29164
2:55:02	37.0	10574	3125	51	29286
3:00:02	37.0	10591	3092	55	29423
3:05:02	37.0	10582	3042	54	29541
3:10:02	37.0	10642	2990	50	29653
3:15:02	37.0	10718	2935	58	29687
3:20:02	37.0	10809	2924	57	29618
3:25:02	37.0	10801	2901	58	29729
3:30:02	37.0	10723	2886	58	29813
3:35:02	37.0	10846	2828	54	29851
3:40:02	37.0	10782	2802	55	29757
3:45:02	37.0	10874	2792	50	29879
3:50:02	37.0	10799	2772	56	29842
3:55:02	37.0	10859	2807	54	29722
4:00:02	37.0	10761	2780	59	29742
4:05:02	37.0	10836	2779	51	29684
4:10:02	37.0	10824	2760	57	29641
4:15:02	37.0	10905	2777	52	29775
4:20:02	37.0	10921	2768	54	29717
4:25:02	37.0	11006	2752	61	29634
4:30:02	37.0	10934	2768	57	29609
4:35:02	37.0	10949	2779	54	29706
4:40:02	37.0	10976	2783	63	29630
4:45:02	37.0	11015	2757	60	29652
4:50:02	37.0	11020	2778	61	29538
4:55:02	37.0	10991	2768	64	29627
5:00:02	37.0	11022	2768	67	29634
5:05:02	37.0	11115	2784	53	29685
5:10:02	37.0	11083	2776	60	29637
5:15:02	37.0	11063	2771	63	29605
5:20:02	37.1	11074	2732	67	29651
5:25:02	37.0	11135	2768	66	29615
5:30:02	36.9	11125	2771	59	29482
5:35:02	37.0	11135	2775	70	29423
5:40:02	37.0	11217	2775	60	29440
5:45:02	37.0	11150	2757	66	29411
5:50:02	37.0	11141	2754	62	29591
5:55:02	37.0	11206	2753	72	29487
6:00:02	37.0	11190	2790	62	29392

Results

Well ID	SPL1	SPL2	SPL3	SPL4	
Well	F1	F2	F3	F4	
Max V [GFP-F-G35:485/20,528/20]	551420.000	220540.000	13120.000	813400.000	
R-Squared [GFP-F-G35:485/20,528/20]	1.000	1.000	0.986	1.000	
t at Max V [GFP-F-G35:485/20,528/20]	0:35:00	0:30:00	0:20:00	0:30:00	
Lagtime [GFP-F-G35:485/20,528/20]	0:14:42	0:13:21	0:08:28	0:14:07	
Max V [GFP-M-G100:485,528]	132160.000	92000.000	4620.000	338980.000	
R-Squared [GFP-M-G100:485,528]	1.000	1.000	0.968	1.000	
t at Max V [GFP-M-G100:485,528]	0:35:02	0:30:02	0:20:02	0:35:02	
Lagtime [GFP-M-G100:485,528]	0:15:20	0:13:35	0:07:52	0:15:27	

